id,role,start_time,end_time,required_skill
S1,duty_1,2025-07-01T17:00:00,2025-07-01T21:00:00,cook
S2,duty_2,2025-07-02T17:00:00,2025-07-02T21:00:00,cook
S3,duty_3,2025-07-03T17:00:00,2025-07-03T23:00:00,cook
S4,duty_4,2025-07-04T09:00:00,2025-07-04T13:00:00,cook
S5,duty_5,2025-07-05T09:00:00,2025-07-05T13:00:00,cook
S6,duty_6,2025-07-06T17:00:00,2025-07-06T23:00:00,server
S7,duty_7,2025-07-07T17:00:00,2025-07-07T22:00:00,cook
S8,duty_8,2025-07-08T17:00:00,2025-07-08T23:00:00,cook
S9,duty_9,2025-07-09T09:00:00,2025-07-09T15:00:00,cook
S10,duty_10,2025-07-10T07:00:00,2025-07-10T11:00:00,cashier
S11,duty_11,2025-07-11T13:00:00,2025-07-11T17:00:00,cashier
S12,duty_12,2025-07-12T13:00:00,2025-07-12T18:00:00,cashier
S13,duty_13,2025-07-13T09:00:00,2025-07-13T15:00:00,cashier
S14,duty_14,2025-07-14T07:00:00,2025-07-14T11:00:00,server
S15,duty_15,2025-07-01T07:00:00,2025-07-01T12:00:00,server
S16,duty_16,2025-07-02T09:00:00,2025-07-02T15:00:00,server
S17,duty_17,2025-07-03T13:00:00,2025-07-03T19:00:00,server
S18,duty_18,2025-07-04T07:00:00,2025-07-04T13:00:00,cook
S19,duty_19,2025-07-05T13:00:00,2025-07-05T18:00:00,cashier
S20,duty_20,2025-07-06T13:00:00,2025-07-06T18:00:00,server
S21,duty_21,2025-07-07T13:00:00,2025-07-07T17:00:00,server
S22,duty_22,2025-07-08T13:00:00,2025-07-08T17:00:00,cashier
S23,duty_23,2025-07-09T13:00:00,2025-07-09T17:00:00,cook
S24,duty_24,2025-07-10T17:00:00,2025-07-10T22:00:00,cook
S25,duty_25,2025-07-11T17:00:00,2025-07-11T21:00:00,cook
S26,duty_26,2025-07-12T17:00:00,2025-07-12T21:00:00,cook
S27,duty_27,2025-07-13T13:00:00,2025-07-13T19:00:00,cashier
S28,duty_28,2025-07-14T09:00:00,2025-07-14T15:00:00,cashier
S29,duty_29,2025-07-01T17:00:00,2025-07-01T22:00:00,cashier
S30,duty_30,2025-07-02T07:00:00,2025-07-02T11:00:00,cook
S31,duty_31,2025-07-03T13:00:00,2025-07-03T17:00:00,server
S32,duty_32,2025-07-04T09:00:00,2025-07-04T15:00:00,cashier
S33,duty_33,2025-07-05T13:00:00,2025-07-05T18:00:00,cashier
S34,duty_34,2025-07-06T07:00:00,2025-07-06T12:00:00,cook
S35,duty_35,2025-07-07T13:00:00,2025-07-07T17:00:00,server
S36,duty_36,2025-07-08T17:00:00,2025-07-08T21:00:00,cook
S37,duty_37,2025-07-09T09:00:00,2025-07-09T14:00:00,cashier
S38,duty_38,2025-07-10T09:00:00,2025-07-10T13:00:00,cashier
S39,duty_39,2025-07-11T09:00:00,2025-07-11T14:00:00,cook
S40,duty_40,2025-07-12T09:00:00,2025-07-12T15:00:00,cashier
S41,duty_41,2025-07-13T17:00:00,2025-07-13T23:00:00,server
S42,duty_42,2025-07-14T07:00:00,2025-07-14T11:00:00,cook
S43,duty_43,2025-07-01T07:00:00,2025-07-01T11:00:00,server
S44,duty_44,2025-07-02T13:00:00,2025-07-02T17:00:00,cashier
S45,duty_45,2025-07-03T17:00:00,2025-07-03T22:00:00,cook
S46,duty_46,2025-07-04T17:00:00,2025-07-04T21:00:00,cashier
S47,duty_47,2025-07-05T13:00:00,2025-07-05T17:00:00,cook
S48,duty_48,2025-07-06T13:00:00,2025-07-06T17:00:00,cook
S49,duty_49,2025-07-07T09:00:00,2025-07-07T15:00:00,server
S50,duty_50,2025-07-08T07:00:00,2025-07-08T13:00:00,server
S51,duty_51,2025-07-09T13:00:00,2025-07-09T17:00:00,server
S52,duty_52,2025-07-10T13:00:00,2025-07-10T19:00:00,cook
S53,duty_53,2025-07-11T07:00:00,2025-07-11T12:00:00,server
S54,duty_54,2025-07-12T07:00:00,2025-07-12T13:00:00,cashier
S55,duty_55,2025-07-13T07:00:00,2025-07-13T12:00:00,cashier
S56,duty_56,2025-07-14T09:00:00,2025-07-14T13:00:00,cashier
S57,duty_57,2025-07-01T09:00:00,2025-07-01T15:00:00,cashier
S58,duty_58,2025-07-02T13:00:00,2025-07-02T17:00:00,cook
S59,duty_59,2025-07-03T09:00:00,2025-07-03T13:00:00,cashier
S60,duty_60,2025-07-04T09:00:00,2025-07-04T14:00:00,cashier
S61,duty_61,2025-07-05T13:00:00,2025-07-05T17:00:00,cook
S62,duty_62,2025-07-06T07:00:00,2025-07-06T13:00:00,cashier
S63,duty_63,2025-07-07T09:00:00,2025-07-07T13:00:00,cook
S64,duty_64,2025-07-08T09:00:00,2025-07-08T14:00:00,cook
S65,duty_65,2025-07-09T17:00:00,2025-07-09T22:00:00,cook
S66,duty_66,2025-07-10T13:00:00,2025-07-10T18:00:00,cook
S67,duty_67,2025-07-11T09:00:00,2025-07-11T14:00:00,server
S68,duty_68,2025-07-12T07:00:00,2025-07-12T12:00:00,cashier
S69,duty_69,2025-07-13T09:00:00,2025-07-13T15:00:00,cashier
S70,duty_70,2025-07-14T09:00:00,2025-07-14T15:00:00,server
S71,duty_71,2025-07-01T09:00:00,2025-07-01T14:00:00,server
S72,duty_72,2025-07-02T13:00:00,2025-07-02T18:00:00,cook
S73,duty_73,2025-07-03T13:00:00,2025-07-03T19:00:00,server
S74,duty_74,2025-07-04T17:00:00,2025-07-04T23:00:00,cashier
S75,duty_75,2025-07-05T13:00:00,2025-07-05T17:00:00,server
S76,duty_76,2025-07-06T07:00:00,2025-07-06T12:00:00,cook
S77,duty_77,2025-07-07T17:00:00,2025-07-07T22:00:00,server
S78,duty_78,2025-07-08T09:00:00,2025-07-08T13:00:00,server
S79,duty_79,2025-07-09T17:00:00,2025-07-09T21:00:00,server
S80,duty_80,2025-07-10T13:00:00,2025-07-10T17:00:00,cook
S81,duty_81,2025-07-11T17:00:00,2025-07-11T21:00:00,cashier
S82,duty_82,2025-07-12T13:00:00,2025-07-12T17:00:00,cashier
S83,duty_83,2025-07-13T09:00:00,2025-07-13T13:00:00,cook
S84,duty_84,2025-07-14T13:00:00,2025-07-14T17:00:00,server
S85,duty_85,2025-07-01T13:00:00,2025-07-01T18:00:00,cashier
S86,duty_86,2025-07-02T13:00:00,2025-07-02T19:00:00,cook
S87,duty_87,2025-07-03T07:00:00,2025-07-03T13:00:00,cashier
S88,duty_88,2025-07-04T07:00:00,2025-07-04T13:00:00,cook
S89,duty_89,2025-07-05T09:00:00,2025-07-05T15:00:00,server
S90,duty_90,2025-07-06T09:00:00,2025-07-06T14:00:00,server
S91,duty_91,2025-07-07T07:00:00,2025-07-07T11:00:00,cashier
S92,duty_92,2025-07-08T17:00:00,2025-07-08T21:00:00,server
S93,duty_93,2025-07-09T13:00:00,2025-07-09T18:00:00,server
S94,duty_94,2025-07-10T09:00:00,2025-07-10T13:00:00,cashier
S95,duty_95,2025-07-11T09:00:00,2025-07-11T14:00:00,server
S96,duty_96,2025-07-12T17:00:00,2025-07-12T22:00:00,cashier
S97,duty_97,2025-07-13T13:00:00,2025-07-13T17:00:00,server
S98,duty_98,2025-07-14T17:00:00,2025-07-14T23:00:00,cashier
S99,duty_99,2025-07-01T09:00:00,2025-07-01T14:00:00,cashier
S100,duty_100,2025-07-02T07:00:00,2025-07-02T12:00:00,cook
S101,duty_101,2025-07-03T13:00:00,2025-07-03T17:00:00,server
S102,duty_102,2025-07-04T17:00:00,2025-07-04T23:00:00,cook
S103,duty_103,2025-07-05T09:00:00,2025-07-05T13:00:00,server
S104,duty_104,2025-07-06T17:00:00,2025-07-06T23:00:00,cook
S105,duty_105,2025-07-07T07:00:00,2025-07-07T11:00:00,cook
S106,duty_106,2025-07-08T13:00:00,2025-07-08T17:00:00,cook
S107,duty_107,2025-07-09T13:00:00,2025-07-09T18:00:00,cashier
S108,duty_108,2025-07-10T07:00:00,2025-07-10T12:00:00,server
S109,duty_109,2025-07-11T13:00:00,2025-07-11T17:00:00,cook
S110,duty_110,2025-07-12T07:00:00,2025-07-12T11:00:00,server
S111,duty_111,2025-07-13T17:00:00,2025-07-13T23:00:00,server
S112,duty_112,2025-07-14T07:00:00,2025-07-14T13:00:00,cook
S113,duty_113,2025-07-01T09:00:00,2025-07-01T13:00:00,cashier
S114,duty_114,2025-07-02T09:00:00,2025-07-02T15:00:00,server
S115,duty_115,2025-07-03T13:00:00,2025-07-03T18:00:00,cook
S116,duty_116,2025-07-04T17:00:00,2025-07-04T23:00:00,server
S117,duty_117,2025-07-05T13:00:00,2025-07-05T19:00:00,cook
S118,duty_118,2025-07-06T09:00:00,2025-07-06T13:00:00,cashier
S119,duty_119,2025-07-07T09:00:00,2025-07-07T14:00:00,cashier
S120,duty_120,2025-07-08T07:00:00,2025-07-08T11:00:00,cashier
